"TRIP_ID","LATITUDE","LONGITUDE"
"T1",41.1471904186,-8.58651823256
"T2",41.163586875,-8.60208885
"T3",41.1677154,-8.5770054
"T4",41.1409198731,-8.61484624615
"T5",41.1476397445,-8.6201607776
"T6",41.171214375,-8.628364125
"T7",41.1549165,-8.582454
"T8",41.1858423,-8.5782375
"T9",41.1258404543,-8.60548000161
"T10",41.1941377059,-8.58722770588
"T11",41.168853,-8.58921975
"T12",41.1498636429,-8.59599321429
"T13",41.1593175,-8.5815135
"T14",41.2363843636,-8.66984454545
"T15",41.1435076364,-8.61036409091
"T16",41.216958,-8.656182
"T17",41.1551739,-8.62905645
"T18",41.1555680034,-8.62738438591
"T19",41.1649317,-8.5890204
"T20",41.161003,-8.64090933333
"T21",41.1488005517,-8.5857485509
"T22",41.1359615,-8.611426
"T23",41.1567624,-8.628441525
"T24",41.1488005517,-8.5857485509
"T25",41.1522970909,-8.64526718182
"T26",41.174028,-8.6058915
"T27",41.1627597568,-8.59279135135
"T28",41.1491318824,-8.586126
"T29",41.1461182241,-8.61196833621
"T30",41.163768,-8.580681
"T31",41.160519,-8.58187575
"T32",41.1547545,-8.60999933898
"T33",41.1641894118,-8.62729835294
"T34",41.1745553333,-8.56732583333
"T35",41.1436376379,-8.61719291379
"T36",41.1535395,-8.60347125
"T37",41.1801874642,-8.69227469826
"T38",41.153613,-8.631943
"T39",41.1488005517,-8.5857485509
"T40",41.1407829643,-8.61554057143
"T41",41.1803267143,-8.60431821429
"T42",41.1703425,-8.58532725
"T43",41.1459971228,-8.61357912575
"T44",41.1814899,-8.5914225
"T45",41.14627275,-8.618904
"T46",41.1506146731,-8.59455051923
"T47",41.152365,-8.61796514019
"T48",41.1624561493,-8.63281773134
"T49",41.168349,-8.55495
"T50",41.15036475,-8.6258655
"T51",41.1426746557,-8.6029984918
"T52",41.1462230285,-8.6113281268
"T53",41.1589115526,-8.59918357895
"T54",41.1692858919,-8.58690389189
"T55",41.15954925,-8.6009355
"T56",41.161041,-8.60724707143
"T57",41.185305,-8.59318875
"T58",41.162148,-8.632642875
"T59",41.167971,-8.6432175
"T60",41.1593793669,-8.60450529496
"T61",41.1498636429,-8.59599321429
"T62",41.144193,-8.57655
"T63",41.168853,-8.58921975
"T64",41.1808956792,-8.58325109434
"T65",41.137542,-8.601282
"T66",41.185314,-8.592948
"T67",41.1457698,-8.6015163
"T68",41.1651186923,-8.62817192308
"T69",41.1448350462,-8.61130225385
"T70",41.1573539746,-8.62534632203
"T71",41.175441,-8.62776
"T72",41.330748,-8.728809
"T73",41.1507582857,-8.5931745
"T74",41.168148,-8.570793
"T75",41.157531,-8.627058
"T76",41.1695925,-8.625694
"T77",41.1460029706,-8.61222423529
"T78",41.1542835195,-8.64773883117
"T79",41.1821811,-8.5976433
"T80",41.170754025,-8.657839575
"T81",41.1574410394,-8.62586144133
"T82",41.1680205,-8.642547
"T83",41.1616662078,-8.65063484416
"T84",41.180995,-8.57686
"T85",41.1514789167,-8.62587908333
"T86",41.1488371548,-8.58419374309
"T87",41.217057,-8.627094
"T88",41.1653660488,-8.58881041463
"T90",41.1471417162,-8.63269224324
"T91",41.1570987541,-8.62985640984
"T92",41.229774,-8.668058625
"T93",41.161944433,-8.64990273711
"T94",41.15453445,-8.643732975
"T95",41.1549751636,-8.61732850909
"T96",41.186331,-8.680662
"T98",41.158995,-8.6301585
"T99",41.1527728723,-8.62160170213
"T100",41.1775864115,-8.66353672818
"T101",41.150256,-8.6108115
"T102",41.1440286176,-8.60461676471
"T103",41.1568338462,-8.62956242308
"T104",41.181613875,-8.531384625
"T107",41.164769,-8.583211
"T109",41.1588110301,-8.60456557895
"T110",41.1475529838,-8.6217772257
"T111",41.15895732,-8.66318094
"T112",41.147023529,-8.60249360323
"T113",41.1656063824,-8.59843535294
"T114",41.178963,-8.598648
"T115",41.1333518571,-8.62749
"T116",41.241684,-8.6215305
"T117",41.1980154545,-8.51456618182
"T118",41.183945125,-8.604385
"T119",41.1774366429,-8.588637
"T120",41.1758498769,-8.62346353846
"T121",41.137785,-8.601273
"T122",41.1630469412,-8.62320335294
"T123",41.1611112,-8.6698476
"T124",41.1655235294,-8.63950976471
"T125",41.15423025,-8.646982275
"T126",41.158046093,-8.63692786047
"T127",41.1567462,-8.6520672
"T128",41.1684691765,-8.60047385294
"T129",41.167062,-8.633961
"T130",41.149373852,-8.62283647534
"T131",41.189985,-7.549254
"T132",41.1452324053,-8.61601604211
"T133",41.1484271068,-8.62489205825
"T134",41.175948,-8.6707275
"T135",41.164351425,-8.6087592
"T136",41.150656625,-8.6068325
"T137",41.1536506705,-8.62651943182
"T138",41.173794,-8.556471
"T139",41.174763,-8.584254
"T140",41.1896256207,-8.58058293103
"T141",41.132604,-8.598462
"T142",41.1476583559,-8.60954694915
"T143",41.163684,-8.627499
"T144",41.1520406691,-8.61054511765
"T145",41.160636375,-8.576290125
"T146",41.1641001818,-8.64051218182
"T147",41.1475529838,-8.6217772257
"T148",41.1702975,-8.5923
"T149",41.203314,-8.6438385
"T151",41.1569714571,-8.62329934286
"T152",41.130153,-8.6356575
"T153",41.169380527,-8.62558614523
"T154",41.1623993581,-8.60814722825
"T155",41.181093,-8.636184
"T156",41.1484271068,-8.62489205825
"T157",41.1723918,-8.567469
"T158",41.1450642,-8.6171598
"T159",41.1524530435,-8.62889517391
"T160",41.174031825,-8.65418445
"T161",41.1493477164,-8.59982621642
"T162",41.163394,-8.625392
"T163",41.1474596143,-8.62147035
"T164",41.1586606452,-8.63155756452
"T166",41.1530272312,-8.6381881875
"T167",41.159682,-8.5959036
"T168",41.1709457368,-8.60486826316
"T169",41.1677595,-8.5879305
"T170",41.154190332,-8.64997094747
"T171",41.1574432075,-8.6524529434
"T172",41.1500979495,-8.62096733257
"T173",41.227785,-8.683317
"T174",41.188698,-8.593452
"T175",41.1618362143,-8.65195778571
"T176",41.1587566105,-8.60459267368
"T177",41.1475745753,-8.62212982192
"T178",41.1765318,-8.6615748
"T179",41.1488005517,-8.5857485509
"T180",41.147892973,-8.61096293514
"T181",41.173521,-8.605524
"T182",41.1613671951,-8.60406184756
"T183",41.1781795968,-8.61399988933
"T184",41.1543073397,-8.64963122519
"T185",41.1720057,-8.6729814
"T186",41.1650734909,-8.64199276364
"T187",41.1500691,-8.5722705
"T188",41.1614075593,-8.58196952542
"T189",41.1442278088,-8.61218682353
"T190",41.1567680769,-8.62264869231
"T191",41.1469129256,-8.60687271856
"T192",41.152194,-8.626473
"T193",41.1476643093,-8.60855754897
"T194",41.147892973,-8.61096293514
"T195",41.1490330476,-8.61113290476
"T196",41.1448350462,-8.61130225385
"T197",41.1636045,-8.64765
