"TRIP_ID","LATITUDE","LONGITUDE"
"T1",41.1487870408,-8.58581926531
"T2",41.161626,-8.604243
"T3",41.1572115,-8.5768875
"T4",41.140971,-8.614539
"T5",41.147343,-8.620263
"T6",41.169996,-8.629056
"T7",41.161194,-8.582049
"T8",41.176989,-8.571015
"T9",41.12622,-8.605953
"T10",41.177466,-8.58843
"T11",41.16888,-8.590365
"T12",41.146839,-8.596305
"T13",41.159358,-8.58141
"T14",41.2366121053,-8.66990557895
"T15",41.1457275,-8.611047
"T16",41.201613,-8.65926
"T17",41.154282,-8.626473
"T18",41.15763,-8.627421
"T19",41.1634035,-8.5888305
"T20",41.1593265,-8.6374665
"T21",41.1487870408,-8.58581926531
"T22",41.134491,-8.608338
"T23",41.1572565,-8.62834275
"T24",41.1487682143,-8.58581308929
"T25",41.148441,-8.6429385
"T26",41.174946,-8.60382
"T27",41.1626558571,-8.59278728571
"T28",41.1487682143,-8.58581308929
"T29",41.1463446923,-8.61120969231
"T30",41.161986,-8.577675
"T31",41.161194,-8.582049
"T32",41.155308,-8.610345
"T33",41.156325,-8.6295015
"T34",41.173353,-8.565858
"T35",41.143533,-8.617602
"T36",41.149071,-8.599275
"T37",41.178249,-8.690256
"T38",41.152644,-8.633196
"T39",41.1487635,-8.5858185
"T40",41.140971,-8.614539
"T41",41.183517,-8.605152
"T42",41.168439,-8.585073
"T43",41.1459525,-8.6140575
"T44",41.179383,-8.589222
"T45",41.146317,-8.617689
"T46",41.150952,-8.593929
"T47",41.146461,-8.614449
"T48",41.161914,-8.632377
"T49",41.174982,-8.549541
"T50",41.150826,-8.6259465
"T51",41.147217,-8.59851
"T52",41.1462257143,-8.61140828571
"T53",41.15934,-8.600877
"T54",41.169132,-8.587008
"T55",41.15934,-8.600877
"T56",41.162022,-8.606979
"T57",41.179383,-8.589222
"T58",41.148477,-8.619381
"T59",41.166873,-8.649729
"T60",41.158161,-8.605116
"T61",41.146839,-8.596305
"T62",41.144166,-8.57655
"T63",41.16861,-8.589681
"T64",41.180868,-8.58280275
"T65",41.132691,-8.600886
"T66",41.179383,-8.589222
"T67",41.146416,-8.600445
"T68",41.166936,-8.6267745
"T69",41.145336,-8.61075225
"T70",41.1572862,-8.6249124
"T71",41.426199,-8.534934
"T72",41.355864,-8.742699
"T73",41.146788,-8.592642
"T74",41.169483,-8.571474
"T75",41.15763,-8.627421
"T76",41.1696045,-8.6257035
"T77",41.145975,-8.612793
"T78",41.1542325,-8.64826425
"T79",41.1816285,-8.600472
"T80",41.17041,-8.655561
"T81",41.157369,-8.625588
"T82",41.16807,-8.639973
"T83",41.1619698,-8.6499288
"T84",41.179833,-8.573004
"T85",41.1524406,-8.627688
"T86",41.14878525,-8.58422025
"T87",41.209992,-8.624448
"T88",41.1643935,-8.590536
"T90",41.1509475,-8.6332995
"T91",41.156622,-8.631351
"T92",41.228415,-8.668512
"T93",41.162211,-8.649822
"T94",41.150511,-8.638497
"T95",41.154615,-8.618886
"T96",41.180211,-8.686512
"T98",41.159025,-8.630082
"T99",41.1526935,-8.621703
"T100",41.17788225,-8.6635305
"T101",41.149524,-8.611221
"T102",41.144103,-8.604783
"T103",41.157009,-8.628966
"T104",41.184387,-8.526771
"T107",41.169051,-8.584425
"T109",41.156181,-8.602425
"T110",41.1473934,-8.622279
"T111",41.159286,-8.665749
"T112",41.143194,-8.602542
"T113",41.165496,-8.598933
"T114",41.177712,-8.598399
"T115",41.130882,-8.626032
"T116",41.23611,-8.617113
"T117",41.190345,-8.50977
"T118",41.1818895,-8.6011695
"T119",41.177466,-8.58843
"T120",41.175009,-8.619588
"T121",41.145867,-8.59968
"T122",41.162841,-8.624853
"T123",41.175549,-8.6684355
"T124",41.165325,-8.6434155
"T125",41.1543765,-8.6455305
"T126",41.1593265,-8.6374665
"T127",41.157306,-8.6520195
"T128",41.165469,-8.602596
"T129",41.166504,-8.632701
"T130",41.15085,-8.6230095
"T131",40.488579,-7.862355
"T132",41.144958,-8.6165325
"T133",41.148576,-8.625249
"T134",41.176206,-8.669916
"T135",41.163561,-8.60922
"T136",41.1505148571,-8.60717314286
"T137",41.15358,-8.628804
"T138",41.02956,-8.553546
"T139",41.179608,-8.589042
"T140",41.185971,-8.580834
"T141",41.146974,-8.596611
"T142",41.1474366,-8.6088654
"T143",41.162841,-8.624853
"T144",41.150754,-8.610924
"T145",41.162265,-8.575065
"T146",41.165325,-8.6434155
"T147",41.147424,-8.6215095
"T148",41.16888,-8.590365
"T149",41.184549,-8.631666
"T151",41.156361,-8.622864
"T152",41.133483,-8.634735
"T153",41.1696045,-8.6257035
"T154",41.163543,-8.61102
"T155",41.176134,-8.632152
"T156",41.146713,-8.625357
"T157",41.174712,-8.565732
"T158",41.145552,-8.617527
"T159",41.152329,-8.627253
"T160",41.173038,-8.654652
"T161",41.1490125,-8.600076
"T162",41.162841,-8.624853
"T163",41.1473934,-8.622279
"T164",41.159394,-8.630766
"T166",41.150511,-8.638497
"T167",41.158773,-8.593461
"T168",41.168448,-8.604378
"T169",41.171805,-8.587683
"T170",41.157018,-8.653203
"T171",41.157306,-8.6520195
"T172",41.149404,-8.622738
"T173",41.175189,-8.649756
"T174",41.188626,-8.586747
"T175",41.1619698,-8.6499288
"T176",41.158161,-8.605116
"T177",41.147424,-8.6215095
"T178",41.17266,-8.664129
"T179",41.1487682143,-8.58581308929
"T180",41.148774,-8.610804
"T181",41.173866,-8.611407
"T182",41.162124,-8.603838
"T183",41.179545,-8.601588
"T184",41.15435175,-8.649675
"T185",41.15961,-8.675361
